evidence_id,name_token,normalized_token,proposed_association,association_type,evidence_type,evidence_strength,evidence_statement,source_id,source_location,source_quote_or_excerpt,interpretation_note,alternative_associations,position_scope,reviewer,review_status,date_added,notes
E6B2-OCHIENG-02,OCHIENG,OCHIENG,Luo,community/linguistic association,naming_system,strong,"An indexed naming table is described as associating Ochieng or Achieng with sun in Luo naming practice.",SRC_STAGE6_LUO_NAMING_LANDSCAPE_2020,not_verified,,"Corroborative indexed evidence; exact table location and wording require direct verification.",,any_position,,needs_review,2026-09-02,No page number or quotation invented.
E6B2-KARIUKI-01,KARIUKI,KARIUKI,Kikuyu,community/linguistic association,naming_system,strong,"Secondary references identify Benson's Kikuyu-English Dictionary as discussing Kariuki in a Kikuyu naming context.",SRC_STAGE6_BENSON_1964,not_verified,,"This supports a documented association lead, not exclusivity or a person-level conclusion.",Ekegusii,any_position,,needs_review,2026-09-02,Direct dictionary-page verification remains required.
E6B2-KARIUKI-02,KARIUKI,KARIUKI,Ekegusii,community/linguistic association,community_documentation,moderate,"The Ekegusii naming-system research is described as documenting Kariuki as a Kikuyu-associated name borrowed or adapted into Ekegusii naming practice.",SRC_STAGE6_UON_EKEGUSII_2017,not_verified,,"This records documented borrowing/adaptation as a separate association; it does not mean Kariuki originated as Ekegusii.",Kikuyu,any_position,,needs_review,2026-09-02,Publication range was supplied but exact token page was not verified.
E6B2-NJOROGE-01,NJOROGE,NJOROGE,Kikuyu,community/linguistic association,naming_system,strong,"Secondary references identify Benson's Kikuyu-English Dictionary as discussing Njoroge in a Kikuyu naming context.",SRC_STAGE6_BENSON_1964,not_verified,,"This supports a documented association lead, not exclusivity or a person-level conclusion.",Ekegusii,any_position,,needs_review,2026-09-02,Direct dictionary-page verification remains required.
E6B2-NJOROGE-02,NJOROGE,NJOROGE,Ekegusii,community/linguistic association,community_documentation,moderate,"The Ekegusii naming-system research is described as documenting Njoroge as a Kikuyu-associated name borrowed or adapted into Ekegusii naming practice.",SRC_STAGE6_UON_EKEGUSII_2017,not_verified,,"This records documented borrowing/adaptation as a separate association; it does not mean Njoroge originated as Ekegusii.",Kikuyu,any_position,,needs_review,2026-09-02,Publication range was supplied but exact token page was not verified.
E6B2-OMONDI-01,OMONDI,OMONDI,Luo,community/linguistic association,community_documentation,moderate,Specialist onomastic reference material was identified as relevant to Omondi and Luo association.,SRC_STAGE6_BEHINDTHENAME,not_verified,,"Corroborative reference lead only; the exact entry and underlying documentation require review.",,any_position,,needs_review,2026-09-02,No direct entry quotation or URL was available.
E6B5-OTIENO-01,OTIENO,OTIENO,Luo,community/linguistic association,naming_system,strong,"The Dholuo naming account associates a boy born after sunset with Otieno and a girl with Atieno.",SRC_STAGE6_DHOLUO_TOPONYMS,p. 43,"births after sunset give rise to O/Atieno","Directly inspected academic thesis evidence supports a Dholuo/Luo naming-system association; this does not establish an individual's ethnicity.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 43; extracted text uses O/Atieno to represent gendered forms. Approved as an evidence-level documented association, not an individual identity claim.
E6B5-ONYANGO-01,ONYANGO,ONYANGO,Luo,community/linguistic association,naming_system,strong,"The Dholuo naming account associates a birth between approximately 7 and 10 am with Onyango/Anyango.",SRC_STAGE6_DHOLUO_TOPONYMS,p. 43,"births between 7-10 am is O/Anyango","Directly inspected academic thesis evidence supports a Dholuo/Luo naming-system association; this does not establish an individual's ethnicity.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 43; extracted text uses O/Anyango to represent gendered forms. Approved as an evidence-level documented association, not an individual identity claim.
E6B5-ODHIAMBO-01,ODHIAMBO,ODHIAMBO,Luo,community/linguistic association,naming_system,strong,"The Dholuo naming account associates an evening birth, approximately 2 to 5 pm, with Odhiambo/Adhiambo.",SRC_STAGE6_DHOLUO_TOPONYMS,p. 43,"when a child is born in the evening (2 pm -5 pm), the child takes the name Odhiambo ... and Adhiambo","Directly inspected academic thesis evidence supports a Dholuo/Luo naming-system association; this does not establish an individual's ethnicity.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 43. Approved as an evidence-level documented association, not an individual identity claim.
E6B5-OCHIENG-01,OCHIENG,OCHIENG,Luo,community/linguistic association,naming_system,strong,"The Dholuo naming account associates a birth between approximately 11 am and 1 pm with Ochieng/Achieng.",SRC_STAGE6_DHOLUO_TOPONYMS,p. 43,"births between 11 -1pm acquires O/Achieng","Directly inspected academic thesis evidence supports a Dholuo/Luo naming-system association; this does not establish an individual's ethnicity.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 43; extracted text uses O/Achieng to represent gendered forms. Approved as an evidence-level documented association, not an individual identity claim.
E6B5-MWANGI-01,MWANGI,MWANGI,Kikuyu,community/linguistic association,contextual_evidence,strong,"A University of Nairobi thesis describes Mwangi as one of the two general divisions used for traditional Kikuyu generation sets.",SRC_STAGE6_UON_GACHIHI_KIKUYU_1982,p. 95,"The generation sets were based on the general division referred to as Mwangi and Maina (or Irungu).","Directly inspected historical/contextual evidence documents Mwangi in Kikuyu social institutions; it is not a universal name-origin or individual-identity claim.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 95; printed page shown in extracted text as 87. Approved as an evidence-level documented association, not an individual identity claim.
E6B5-MAINA-01,MAINA,MAINA,Kikuyu,community/linguistic association,contextual_evidence,strong,"A University of Nairobi thesis describes Maina, or Irungu, as one of the two general divisions used for traditional Kikuyu generation sets.",SRC_STAGE6_UON_GACHIHI_KIKUYU_1982,p. 95,"The generation sets were based on the general division referred to as Mwangi and Maina (or Irungu).","Directly inspected historical/contextual evidence documents Maina in Kikuyu social institutions; it is not a universal name-origin or individual-identity claim.",,any_position,stage6b8-review,approved,2026-09-03,PDF page 95; printed page shown in extracted text as 87. Approved as an evidence-level documented association, not an individual identity claim.
E6B7-OMONDI-01,OMONDI,OMONDI,Luo,community/linguistic association,naming_system,moderate,"An article in Acta Academica describes Omondi as a Luo personal name meaning born at dawn, within a broader account of naming by time of day and other circumstances.",SRC_STAGE6B7_ACTA_NAMES_2003,p. 115,"the time of the day, for instance Omondi (""born at dawn"")","Directly inspected independent academic source supports a Luo naming-system example; the authors identify this particular Luo account as personal knowledge, so the claim is not treated as very strong or as proof of individual identity.",,any_position,,source_verified,2026-09-03,Printed page 115 (PDF page 12).
